timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2026-09-20T16:20:44,codecarbon,f16cde46-7c58-42ed-a757-39d8e02d6891,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,202.68698436700103,0.0026921301423084,1.3282205321254752e-05,42.5,3.645241459321558,14.468785285949709,0.0023923586311354,0.0005666387866439,0.0008144472571249,0.0037734446749043,India,IND,telangana,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.39,3.12.3,2.8.4,24,Intel(R) Core(TM) Ultra 9 275HX,1,1 x NVIDIA GeForce RTX 5070 Laptop GPU,78.4583,17.3843,38.58342742919922,machine,N,1.0
2026-09-20T16:25:15,codecarbon,a3da0dc8-f9c5-4da4-8a62-24da81485e1a,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,62.03404243899968,0.0009479970337399,1.528188388935309e-05,42.5,9.936840818948564,14.468785285949709,0.0007321647205867,0.0003473491667679,0.0002492533600279,0.0013287672473827,India,IND,telangana,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.39,3.12.3,2.8.4,24,Intel(R) Core(TM) Ultra 9 275HX,1,1 x NVIDIA GeForce RTX 5070 Laptop GPU,78.4583,17.3843,38.58342742919922,machine,N,1.0
2026-09-20T16:29:56,codecarbon,ba4be258-eeba-4225-bac5-f9423567f55d,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,158.27238709300036,0.002240777644061992,1.415772950176911e-05,42.5,9.747147038942162,14.468785285949709,0.0018683057798229282,0.0006364577313879988,0.0006360395041217944,0.003140803015332721,India,IND,telangana,,,Linux-7.0.0-31-generic-x86_64-with-glibc2.39,3.12.3,2.8.4,24,Intel(R) Core(TM) Ultra 9 275HX,1,1 x NVIDIA GeForce RTX 5070 Laptop GPU,78.4583,17.3843,38.58342742919922,machine,N,1.0
